absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
0,step2,51,0,28,10,True,0,10,0,0,18,1,0,20.0,0.0,658.5835405937547,330,1650.0,4526.835405937547,True,0,84.0,10,0,4,0.33096439999644645,3,1,15,10,45,4,1910036,44,5,5,25,305.0,6585.835405937547,0.34844909999810625
0,step1,27,0,15,15,True,0,15,0,0,0,0,0,30.0,9.094947017729282e-13,400.5513049268379,269,1345.0,4345.2695739025685,True,0,45.0,15,0,4,0.20122560000163503,5,0,18,8,48,7,1910037,89,8,8,25,243.0,6008.2695739025685,0.21843759999319445
0,step2,27,0,15,15,True,0,15,0,0,0,0,0,30.0,9.094947017729282e-13,400.5513049268379,269,1345.0,4345.2695739025685,True,0,45.0,15,0,4,0.19994509998650756,2,0,18,10,50,7,1910037,89,8,8,25,243.0,6008.2695739025685,0.2174650999950245
0,step1,57,0,13,13,True,0,13,0,0,0,0,0,26.0,0.0,486.38346882002554,313,1565.0,4404.985094660331,True,0,39.0,13,0,4,0.21587889999500476,7,0,20,7,45,8,1910038,92,5,5,25,288.0,6322.985094660332,0.23364800000854302
0,step2,45,0,13,13,True,0,13,0,0,0,0,0,26.0,0.0,485.9431690999741,312,1560.0,4404.261198299662,True,0,39.0,13,0,4,0.20416919999115635,2,0,18,10,48,7,1910038,92,6,6,25,288.0,6317.261198299663,0.22171329999400768
0,step1,11,0,16,14,True,0,14,0,0,2,0,0,28.0,0.0,443.0862182086443,317,1585.0,4247.207054921022,True,0,48.0,14,0,4,0.17851830000290647,5,0,15,5,43,8,1910039,91,8,6,25,295.0,6203.20705492102,0.19543700000212993
0,step2,11,0,16,14,True,0,14,0,0,2,0,0,28.0,0.0,443.0862182086443,317,1585.0,4247.207054921022,True,0,48.0,14,0,4,0.1813620000029914,2,0,15,7,45,8,1910039,91,8,6,25,295.0,6203.20705492102,0.19908820001001004
0,step1,53,0,20,16,True,1,16,1,0,4,1,0,32.0,0.0,405.5635107971997,274,1370.0,4779.016172755194,True,0,60.0,16,0,4,0.2184486000041943,7,1,22,9,47,7,1910040,39,8,8,24,248.0,6489.016172755195,0.23616290000791196
0,step2,53,0,20,16,True,1,16,1,0,4,1,0,32.0,0.0,405.5635107971997,274,1370.0,4779.016172755194,True,0,60.0,16,0,4,0.23174970000400208,3,1,22,12,50,7,1910040,39,8,8,24,248.0,6489.016172755195,0.2487531999940984
0,step1,64,0,15,11,True,0,11,0,0,4,1,0,22.0,0.0,599.3899343484219,329,1645.0,4584.289277832644,True,0,45.0,11,0,4,0.32416669999656733,5,1,16,5,41,5,1910041,47,6,5,25,297.0,6593.28927783264,0.34425829999963753
0,step2,64,0,15,11,True,0,11,0,0,4,1,0,22.0,0.0,599.3899343484219,329,1645.0,4584.289277832644,True,0,45.0,11,0,4,0.31462410000676755,4,1,16,9,45,5,1910041,47,6,5,25,297.0,6593.28927783264,0.33151160000124946
0,step1,15,0,12,12,True,0,12,0,0,0,0,0,24.0,0.0,542.8079900514686,338,1690.0,4446.695880617622,True,0,36.0,12,0,4,0.15141039999434724,4,0,11,6,43,4,1910042,35,8,8,25,317.0,6513.695880617623,0.16927600000053644
0,step2,15,0,12,12,True,0,12,0,0,0,0,0,24.0,0.0,542.8079900514686,338,1690.0,4446.695880617622,True,0,36.0,12,0,4,0.15193739999085665,1,0,11,7,44,4,1910042,35,8,8,25,317.0,6513.695880617623,0.16958500001055654
0,step1,50,0,46,15,True,0,15,0,0,31,2,0,30.0,0.0,447.47181664292407,268,1340.0,4959.077249643867,True,0,138.0,15,0,4,0.421397900005104,6,2,19,9,46,6,1910043,67,8,7,25,245.0,6712.077249643861,0.43861520000791643
0,step2,50,0,46,15,True,0,15,0,0,31,2,0,30.0,0.0,447.47181664292407,268,1340.0,4959.077249643867,True,0,138.0,15,0,4,0.42839200000162236,2,2,19,11,48,6,1910043,67,8,7,25,245.0,6712.077249643861,0.4454618000017945
0,step1,0,0,21,12,True,0,12,0,0,9,1,0,24.0,0.0,533.9700153267352,293,1465.0,4585.64018392082,True,0,63.0,12,0,4,0.2823344000062207,3,1,11,4,39,6,1910044,108,7,5,25,270.0,6407.640183920822,0.30070269999851007
0,step2,0,0,21,12,True,0,12,0,0,9,1,0,24.0,0.0,533.9700153267352,293,1465.0,4585.64018392082,True,0,63.0,12,0,4,0.2843853999947896,0,1,11,4,39,6,1910044,108,7,5,25,270.0,6407.640183920822,0.30247729999246076
